createdate createtime filename size status
2020-10-17 12:22:09 marsNC_2020-10-12.nc 28.68MB done
2020-10-17 18:48:36 marsNC_2020-10-13.nc 28.68MB done
2020-10-17 20:02:31 marsNC_2020-10-14.nc 28.68MB done
2020-10-17 20:35:14 marsNC_2020-10-15.nc 28.68MB done
2020-10-17 21:14:34 marsNC_2020-10-16.nc 28.68MB done
2020-10-17 22:13:59 marsNC_2020-10-17.nc 28.68MB done
2020-10-19 06:47:20 marsNC_2020-10-18.nc 28.68MB done
2020-10-19 07:22:49 marsNC_2020-10-19.nc 28.68MB done
2020-10-20 07:02:04 marsNC_2020-10-20.nc 28.68MB done
2020-10-21 07:00:43 marsNC_2020-10-21.nc 28.68MB done
2020-10-22 07:01:24 marsNC_2020-10-22.nc 28.68MB done
2020-10-23 06:58:07 marsNC_2020-10-23.nc 28.68MB done
2020-10-24 07:07:32 marsNC_2020-10-24.nc 28.68MB done
2020-10-25 06:59:16 marsNC_2020-10-25.nc 28.68MB done
2020-10-26 07:05:50 marsNC_2020-10-26.nc 28.68MB done
2020-10-27 07:07:20 marsNC_2020-10-27.nc 28.68MB done
2020-10-28 07:01:58 marsNC_2020-10-28.nc 28.68MB done
2020-10-29 06:59:50 marsNC_2020-10-29.nc 28.68MB done
2020-10-30 06:59:53 marsNC_2020-10-30.nc 28.68MB done
2020-10-31 07:19:44 marsNC_2020-10-31.nc 28.68MB done
2020-11-03 07:23:07 marsNC_2020-11-01.nc 28.68MB done
2020-11-03 09:54:39 marsNC_2020-11-02.nc 28.68MB done
2020-11-03 11:04:17 marsNC_2020-11-03.nc 28.68MB done
2020-11-04 07:37:59 marsNC_2020-11-04.nc 28.68MB done
2020-11-05 08:31:53 marsNC_2020-11-05.nc 28.68MB done
2020-11-06 07:35:51 marsNC_2020-11-06.nc 28.68MB done
2020-11-07 07:38:50 marsNC_2020-11-07.nc 28.68MB done
2020-11-09 08:40:06 marsNC_2020-11-08.nc 28.68MB done
2020-11-09 11:11:56 marsNC_2020-11-09.nc 28.68MB done
2020-11-10 07:50:35 marsNC_2020-11-10.nc 28.68MB done
2020-11-11 08:44:23 marsNC_2020-11-11.nc 28.68MB done
2020-11-14 07:36:27 marsNC_2020-11-12.nc 28.68MB done
2020-11-14 10:07:42 marsNC_2020-11-13.nc 28.68MB done
2020-11-14 12:39:23 marsNC_2020-11-14.nc 28.68MB done
2020-11-15 09:04:32 marsNC_2020-11-15.nc 28.68MB done
2020-11-16 08:15:32 marsNC_2020-11-16.nc 28.68MB done
2020-11-17 09:20:12 marsNC_2020-11-17.nc 28.68MB done
2020-11-18 07:37:52 marsNC_2020-11-18.nc 28.68MB done
2020-11-19 07:06:38 marsNC_2020-11-19.nc 28.68MB done
2020-11-21 07:30:41 marsNC_2020-11-20.nc 28.68MB done
2020-11-22 06:56:12 marsNC_2020-11-21.nc 28.68MB done
2020-11-22 09:27:25 marsNC_2020-11-22.nc 28.68MB done
2020-11-23 07:59:36 marsNC_2020-11-23.nc 28.68MB done
2020-11-24 08:32:36 marsNC_2020-11-24.nc 28.68MB done
2020-11-25 07:15:24 marsNC_2020-11-25.nc 28.68MB done
2020-11-26 08:25:10 marsNC_2020-11-26.nc 28.68MB done
2020-11-27 06:58:24 marsNC_2020-11-27.nc 28.68MB done
2020-11-28 10:12:46 marsNC_2020-11-28.nc 28.68MB done
2020-11-29 08:45:51 marsNC_2020-11-29.nc 28.68MB done
2020-11-30 07:19:19 marsNC_2020-11-30.nc 28.68MB done
2020-12-01 11:38:01 marsNC_2020-12-01.nc 28.68MB done
2020-12-02 07:52:00 marsNC_2020-12-02.nc 28.68MB done
2020-12-03 07:41:25 marsNC_2020-12-03.nc 28.68MB done
2020-12-04 07:50:11 marsNC_2020-12-04.nc 28.68MB done
2020-12-05 08:10:21 marsNC_2020-12-05.nc 28.68MB done
2020-12-06 07:32:43 marsNC_2020-12-06.nc 28.68MB done
2020-12-07 08:05:44 marsNC_2020-12-07.nc 28.68MB done
2020-12-09 12:28:54 marsNC_2020-12-08.nc 28.68MB done
2020-12-09 19:24:32 marsNC_2020-12-09.nc 28.68MB done
2020-12-10 08:37:46 marsNC_2020-12-10.nc 28.68MB done
2020-12-11 09:22:05 marsNC_2020-12-11.nc 28.68MB done
2020-12-12 07:12:47 marsNC_2020-12-12.nc 28.68MB done
