createdate createtime filename size status
2020-10-17 18:49:10 outNC_2020-10-12.nc 182.05MB done
2020-10-17 19:21:47 outNC_2020-10-13.nc 182.05MB done
2020-10-17 20:02:52 outNC_2020-10-14.nc 182.05MB done
2020-10-17 20:35:49 outNC_2020-10-15.nc 182.05MB done
2020-10-17 21:14:55 outNC_2020-10-16.nc 182.05MB done
2020-10-17 22:14:35 outNC_2020-10-17.nc 182.05MB done
2020-10-19 06:48:08 outNC_2020-10-18.nc 182.05MB done
2020-10-19 07:23:21 outNC_2020-10-19.nc 182.05MB done
2020-10-20 07:02:41 outNC_2020-10-20.nc 182.05MB done
2020-10-21 07:01:15 outNC_2020-10-21.nc 182.05MB done
2020-10-22 07:05:49 outNC_2020-10-22.nc 182.05MB done
2020-10-23 06:58:39 outNC_2020-10-23.nc 182.05MB done
2020-10-24 07:08:09 outNC_2020-10-24.nc 182.05MB done
2020-10-25 06:59:57 outNC_2020-10-25.nc 182.05MB done
2020-10-26 07:06:23 outNC_2020-10-26.nc 182.05MB done
2020-10-27 07:07:59 outNC_2020-10-27.nc 182.05MB done
2020-10-28 07:02:39 outNC_2020-10-28.nc 182.05MB done
2020-10-29 07:00:23 outNC_2020-10-29.nc 182.05MB done
2020-10-30 07:00:25 outNC_2020-10-30.nc 182.05MB done
2020-10-31 07:20:16 outNC_2020-10-31.nc 182.05MB done
2020-11-03 07:23:39 outNC_2020-11-01.nc 182.05MB done
2020-11-03 09:55:37 outNC_2020-11-02.nc 182.05MB done
2020-11-03 11:05:30 outNC_2020-11-03.nc 182.05MB done
2020-11-04 07:38:29 outNC_2020-11-04.nc 182.05MB done
2020-11-05 08:32:23 outNC_2020-11-05.nc 182.05MB done
2020-11-06 07:37:08 outNC_2020-11-06.nc 182.05MB done
2020-11-07 07:39:32 outNC_2020-11-07.nc 182.05MB done
2020-11-09 08:40:40 outNC_2020-11-08.nc 182.05MB done
2020-11-09 11:12:28 outNC_2020-11-09.nc 182.05MB done
2020-11-10 07:51:07 outNC_2020-11-10.nc 182.05MB done
2020-11-11 08:44:55 outNC_2020-11-11.nc 182.05MB done
2020-11-14 07:37:01 outNC_2020-11-12.nc 182.05MB done
2020-11-14 10:08:15 outNC_2020-11-13.nc 182.05MB done
2020-11-14 12:39:55 outNC_2020-11-14.nc 182.05MB done
2020-11-15 09:05:15 outNC_2020-11-15.nc 182.05MB done
2020-11-16 08:16:07 outNC_2020-11-16.nc 182.05MB done
2020-11-17 09:21:00 outNC_2020-11-17.nc 182.05MB done
2020-11-18 07:38:32 outNC_2020-11-18.nc 182.05MB done
2020-11-19 07:07:18 outNC_2020-11-19.nc 182.05MB done
2020-11-21 07:31:17 outNC_2020-11-20.nc 182.05MB done
2020-11-22 06:56:56 outNC_2020-11-21.nc 182.05MB done
2020-11-22 09:27:56 outNC_2020-11-22.nc 182.05MB done
2020-11-23 08:00:09 outNC_2020-11-23.nc 182.05MB done
2020-11-24 08:33:12 outNC_2020-11-24.nc 182.05MB done
2020-11-25 07:16:10 outNC_2020-11-25.nc 182.05MB done
2020-11-26 08:25:56 outNC_2020-11-26.nc 182.05MB done
2020-11-27 06:58:56 outNC_2020-11-27.nc 182.05MB done
2020-11-28 10:13:18 outNC_2020-11-28.nc 182.05MB done
2020-11-29 08:46:23 outNC_2020-11-29.nc 182.05MB done
2020-11-30 07:20:04 outNC_2020-11-30.nc 182.05MB done
2020-12-01 11:38:37 outNC_2020-12-01.nc 182.05MB done
2020-12-02 07:52:36 outNC_2020-12-02.nc 182.05MB done
2020-12-03 07:41:58 outNC_2020-12-03.nc 182.05MB done
2020-12-04 07:50:56 outNC_2020-12-04.nc 182.05MB done
2020-12-05 08:10:53 outNC_2020-12-05.nc 182.05MB done
2020-12-06 07:33:16 outNC_2020-12-06.nc 182.05MB done
2020-12-07 08:06:19 outNC_2020-12-07.nc 182.05MB done
2020-12-09 12:29:41 outNC_2020-12-08.nc 182.05MB done
2020-12-09 19:25:13 outNC_2020-12-09.nc 182.05MB done
2020-12-10 08:38:19 outNC_2020-12-10.nc 182.05MB done
2020-12-11 09:22:37 outNC_2020-12-11.nc 182.05MB done
2020-12-12 07:13:43 outNC_2020-12-12.nc 182.05MB done
2020-12-13 07:45:29 outNC_2020-12-13.nc 182.05MB done
2020-12-14 08:18:43 outNC_2020-12-14.nc 182.05MB done
2020-12-15 07:15:23 outNC_2020-12-15.nc 182.05MB done
2020-12-16 08:35:55 outNC_2020-12-16.nc 182.05MB done
2020-12-17 08:27:11 outNC_2020-12-17.nc 182.05MB done
2020-12-18 07:18:38 outNC_2020-12-18.nc 182.05MB done
2020-12-19 08:05:22 outNC_2020-12-19.nc 182.05MB done
2020-12-21 10:11:06 outNC_2020-12-20.nc 182.05MB done
2020-12-21 12:42:06 outNC_2020-12-21.nc 182.05MB done
2020-12-22 07:37:18 outNC_2020-12-22.nc 182.05MB done
2020-12-23 08:10:21 outNC_2020-12-23.nc 182.05MB done
2020-12-24 08:44:00 outNC_2020-12-24.nc 182.05MB done
2020-12-26 08:33:23 outNC_2020-12-25.nc 182.05MB done
2020-12-26 11:04:12 outNC_2020-12-26.nc 182.05MB done
2020-12-27 07:35:34 outNC_2020-12-27.nc 182.05MB done
2020-12-28 08:06:46 outNC_2020-12-28.nc 182.05MB done
2020-12-29 08:38:11 outNC_2020-12-29.nc 182.05MB done
2020-12-30 07:10:38 outNC_2020-12-30.nc 182.05MB done
2020-12-31 07:42:22 outNC_2020-12-31.nc 182.05MB done
2021-01-01 08:14:49 outNC_2021-01-01.nc 182.05MB done
2021-01-02 08:47:17 outNC_2021-01-02.nc 182.05MB done
2021-01-03 07:19:27 outNC_2021-01-03.nc 182.05MB done
2021-01-04 07:51:59 outNC_2021-01-04.nc 182.05MB done
2021-01-05 08:24:49 outNC_2021-01-05.nc 182.05MB done
2021-01-06 06:58:32 outNC_2021-01-06.nc 182.05MB done
2021-01-07 07:32:25 outNC_2021-01-07.nc 182.05MB done
2021-01-09 08:29:08 outNC_2021-01-08.nc 182.05MB done
2021-01-09 11:00:33 outNC_2021-01-09.nc 182.05MB done
2021-01-10 07:32:13 outNC_2021-01-10.nc 182.05MB done
2021-01-12 10:50:30 outNC_2021-01-11.nc 182.05MB done
2021-01-12 13:22:31 outNC_2021-01-12.nc 182.05MB done
2021-01-13 13:43:48 outNC_2021-01-13.nc 182.05MB done
2021-01-14 11:35:10 outNC_2021-01-14.nc 182.05MB done
2021-01-15 08:00:29 outNC_2021-01-15.nc 182.05MB done
2021-01-16 08:31:13 outNC_2021-01-16.nc 182.05MB done
2021-01-18 13:02:05 outNC_2021-01-17.nc 182.05MB done
2021-01-18 15:32:03 outNC_2021-01-18.nc 182.05MB done
2021-01-19 08:03:27 outNC_2021-01-19.nc 182.05MB done
2021-01-20 07:37:05 outNC_2021-01-20.nc 182.05MB done
2021-01-21 08:19:16 outNC_2021-01-21.nc 182.05MB done
2021-01-22 08:51:53 outNC_2021-01-22.nc 182.05MB done
2021-01-23 07:24:07 outNC_2021-01-23.nc 182.05MB done
2021-01-24 09:45:03 outNC_2021-01-24.nc 182.05MB done
2021-01-25 08:16:14 outNC_2021-01-25.nc 182.05MB done
2021-01-26 08:26:45 outNC_2021-01-26.nc 182.05MB done
2021-01-27 06:58:31 outNC_2021-01-27.nc 182.05MB done
2021-01-28 07:29:51 outNC_2021-01-28.nc 182.05MB done
2021-01-29 08:01:28 outNC_2021-01-29.nc 182.05MB done
2021-01-30 08:33:46 outNC_2021-01-30.nc 182.05MB done
2021-01-31 07:05:17 outNC_2021-01-31.nc 182.05MB done
2021-02-01 07:43:18 outNC_2021-02-01.nc 182.05MB done
2021-02-02 08:52:36 outNC_2021-02-02.nc 182.05MB done
