createdate createtime filename size status
2020-10-17 18:49:01 swn_2020-10-12.swn 1744bytes done
2020-10-17 18:49:01 swn_2020-10-13.swn 1744bytes done
2020-10-17 20:02:44 swn_2020-10-14.swn 1744bytes done
2020-10-17 20:35:40 swn_2020-10-15.swn 1744bytes done
2020-10-17 21:14:47 swn_2020-10-16.swn 1744bytes done
2020-10-17 22:14:16 swn_2020-10-17.swn 1743bytes done
2020-10-19 06:47:49 swn_2020-10-18.swn 1743bytes done
2020-10-19 07:23:02 swn_2020-10-19.swn 1743bytes done
2020-10-20 07:02:21 swn_2020-10-20.swn 1743bytes done
2020-10-21 07:00:55 swn_2020-10-21.swn 1743bytes done
2020-10-22 07:01:37 swn_2020-10-22.swn 1743bytes done
2020-10-23 06:58:20 swn_2020-10-23.swn 1743bytes done
2020-10-24 07:07:50 swn_2020-10-24.swn 1743bytes done
2020-10-25 06:59:38 swn_2020-10-25.swn 1743bytes done
2020-10-26 07:06:03 swn_2020-10-26.swn 1743bytes done
2020-10-27 07:07:39 swn_2020-10-27.swn 1743bytes done
2020-10-28 07:02:19 swn_2020-10-28.swn 1743bytes done
2020-10-29 07:00:03 swn_2020-10-29.swn 1743bytes done
2020-10-30 07:00:06 swn_2020-10-30.swn 1743bytes done
2020-10-31 07:19:56 swn_2020-10-31.swn 1743bytes done
2020-11-03 07:23:20 swn_2020-11-01.swn 1743bytes done
2020-11-03 09:55:17 swn_2020-11-02.swn 1743bytes done
2020-11-03 11:04:29 swn_2020-11-03.swn 1743bytes done
2020-11-04 07:38:10 swn_2020-11-04.swn 1743bytes done
2020-11-05 08:32:03 swn_2020-11-05.swn 1743bytes done
2020-11-06 07:36:24 swn_2020-11-06.swn 1743bytes done
2020-11-07 07:39:12 swn_2020-11-07.swn 1743bytes done
2020-11-09 08:40:20 swn_2020-11-08.swn 1743bytes done
2020-11-09 11:12:09 swn_2020-11-09.swn 1743bytes done
2020-11-10 07:50:47 swn_2020-11-10.swn 1743bytes done
2020-11-11 08:44:35 swn_2020-11-11.swn 1743bytes done
2020-11-14 07:36:41 swn_2020-11-12.swn 1743bytes done
2020-11-14 10:07:55 swn_2020-11-13.swn 1743bytes done
2020-11-14 12:39:35 swn_2020-11-14.swn 1743bytes done
2020-11-15 09:04:56 swn_2020-11-15.swn 1743bytes done
2020-11-16 08:15:47 swn_2020-11-16.swn 1743bytes done
2020-11-17 09:20:40 swn_2020-11-17.swn 1743bytes done
2020-11-18 07:38:12 swn_2020-11-18.swn 1743bytes done
2020-11-19 07:06:58 swn_2020-11-19.swn 1743bytes done
2020-11-21 07:30:57 swn_2020-11-20.swn 1743bytes done
2020-11-22 06:56:36 swn_2020-11-21.swn 1743bytes done
2020-11-22 09:27:36 swn_2020-11-22.swn 1743bytes done
2020-11-23 07:59:48 swn_2020-11-23.swn 1743bytes done
2020-11-24 08:32:51 swn_2020-11-24.swn 1743bytes done
2020-11-25 07:15:49 swn_2020-11-25.swn 1743bytes done
2020-11-26 08:25:36 swn_2020-11-26.swn 1743bytes done
2020-11-27 06:58:36 swn_2020-11-27.swn 1743bytes done
2020-11-28 10:12:59 swn_2020-11-28.swn 1743bytes done
2020-11-29 08:46:04 swn_2020-11-29.swn 1743bytes done
2020-11-30 07:19:44 swn_2020-11-30.swn 1743bytes done
2020-12-01 11:38:16 swn_2020-12-01.swn 1743bytes done
2020-12-02 07:52:17 swn_2020-12-02.swn 1743bytes done
2020-12-03 07:41:38 swn_2020-12-03.swn 1743bytes done
2020-12-04 07:50:35 swn_2020-12-04.swn 1743bytes done
2020-12-05 08:10:34 swn_2020-12-05.swn 1743bytes done
2020-12-06 07:32:56 swn_2020-12-06.swn 1743bytes done
2020-12-07 08:05:59 swn_2020-12-07.swn 1743bytes done
2020-12-09 12:29:22 swn_2020-12-08.swn 1743bytes done
2020-12-09 19:24:54 swn_2020-12-09.swn 1743bytes done
2020-12-10 08:37:59 swn_2020-12-10.swn 1743bytes done
2020-12-11 09:22:18 swn_2020-12-11.swn 1743bytes done
2020-12-12 07:13:24 swn_2020-12-12.swn 1743bytes done
2020-12-13 07:45:08 swn_2020-12-13.swn 1743bytes done
2020-12-14 08:18:24 swn_2020-12-14.swn 1743bytes done
2020-12-15 07:15:03 swn_2020-12-15.swn 1743bytes done
2020-12-16 08:35:35 swn_2020-12-16.swn 1743bytes done
2020-12-17 08:26:52 swn_2020-12-17.swn 1743bytes done
2020-12-18 07:18:18 swn_2020-12-18.swn 1743bytes done
2020-12-19 08:05:02 swn_2020-12-19.swn 1743bytes done
2020-12-21 10:10:46 swn_2020-12-20.swn 1743bytes done
2020-12-21 12:41:47 swn_2020-12-21.swn 1743bytes done
2020-12-22 07:36:58 swn_2020-12-22.swn 1743bytes done
2020-12-23 08:10:02 swn_2020-12-23.swn 1743bytes done
2020-12-24 08:43:40 swn_2020-12-24.swn 1743bytes done
2020-12-26 08:33:03 swn_2020-12-25.swn 1743bytes done
2020-12-26 11:03:52 swn_2020-12-26.swn 1743bytes done
2020-12-27 07:35:15 swn_2020-12-27.swn 1743bytes done
2020-12-28 08:06:27 swn_2020-12-28.swn 1743bytes done
2020-12-29 08:37:51 swn_2020-12-29.swn 1743bytes done
2020-12-30 07:10:19 swn_2020-12-30.swn 1743bytes done
2020-12-31 07:42:03 swn_2020-12-31.swn 1743bytes done
2021-01-01 08:14:30 swn_2021-01-01.swn 1743bytes done
2021-01-02 08:46:58 swn_2021-01-02.swn 1743bytes done
2021-01-03 07:19:08 swn_2021-01-03.swn 1743bytes done
2021-01-04 07:51:40 swn_2021-01-04.swn 1743bytes done
2021-01-05 08:24:30 swn_2021-01-05.swn 1743bytes done
2021-01-06 06:58:13 swn_2021-01-06.swn 1743bytes done
2021-01-07 07:32:05 swn_2021-01-07.swn 1743bytes done
2021-01-09 08:28:48 swn_2021-01-08.swn 1743bytes done
2021-01-09 11:00:14 swn_2021-01-09.swn 1743bytes done
2021-01-10 07:31:53 swn_2021-01-10.swn 1743bytes done
2021-01-12 10:50:11 swn_2021-01-11.swn 1743bytes done
