createdate createtime filename size status
2020-10-17 18:48:54 wnd_2020-10-12.wnd 93.59MB done
2020-10-17 18:48:58 wnd_2020-10-13.wnd 93.0MB done
2020-10-17 20:02:40 wnd_2020-10-14.wnd 93.22MB done
2020-10-17 20:35:36 wnd_2020-10-15.wnd 93.63MB done
2020-10-17 21:14:43 wnd_2020-10-16.wnd 93.59MB done
2020-10-17 22:14:12 wnd_2020-10-17.wnd 93.88MB done
2020-10-19 06:47:45 wnd_2020-10-18.wnd 94.08MB done
2020-10-19 07:22:59 wnd_2020-10-19.wnd 93.9MB done
2020-10-20 07:02:18 wnd_2020-10-20.wnd 93.61MB done
2020-10-21 07:00:52 wnd_2020-10-21.wnd 93.05MB done
2020-10-22 07:01:33 wnd_2020-10-22.wnd 92.89MB done
2020-10-23 06:58:17 wnd_2020-10-23.wnd 93.03MB done
2020-10-24 07:07:46 wnd_2020-10-24.wnd 92.83MB done
2020-10-25 06:59:34 wnd_2020-10-25.wnd 93.07MB done
2020-10-26 07:05:59 wnd_2020-10-26.wnd 93.24MB done
2020-10-27 07:07:35 wnd_2020-10-27.wnd 93.31MB done
2020-10-28 07:02:15 wnd_2020-10-28.wnd 93.68MB done
2020-10-29 07:00:00 wnd_2020-10-29.wnd 93.7MB done
2020-10-30 07:00:02 wnd_2020-10-30.wnd 93.81MB done
2020-10-31 07:19:53 wnd_2020-10-31.wnd 93.91MB done
2020-11-03 07:23:16 wnd_2020-11-01.wnd 94.23MB done
2020-11-03 09:55:13 wnd_2020-11-02.wnd 94.65MB done
2020-11-03 11:04:25 wnd_2020-11-03.wnd 95.07MB done
2020-11-04 07:38:06 wnd_2020-11-04.wnd 95.32MB done
2020-11-05 08:32:00 wnd_2020-11-05.wnd 95.32MB done
2020-11-06 07:36:19 wnd_2020-11-06.wnd 94.84MB done
2020-11-07 07:39:08 wnd_2020-11-07.wnd 94.74MB done
2020-11-09 08:40:16 wnd_2020-11-08.wnd 94.85MB done
2020-11-09 11:12:05 wnd_2020-11-09.wnd 94.77MB done
2020-11-10 07:50:44 wnd_2020-11-10.wnd 94.66MB done
2020-11-11 08:44:32 wnd_2020-11-11.wnd 94.49MB done
2020-11-14 07:36:37 wnd_2020-11-12.wnd 94.08MB done
2020-11-14 10:07:51 wnd_2020-11-13.wnd 93.4MB done
2020-11-14 12:39:31 wnd_2020-11-14.wnd 93.55MB done
2020-11-15 09:04:52 wnd_2020-11-15.wnd 94.4MB done
2020-11-16 08:15:43 wnd_2020-11-16.wnd 94.74MB done
2020-11-17 09:20:36 wnd_2020-11-17.wnd 95.45MB done
2020-11-18 07:38:08 wnd_2020-11-18.wnd 95.58MB done
2020-11-19 07:06:54 wnd_2020-11-19.wnd 95.17MB done
2020-11-21 07:30:53 wnd_2020-11-20.wnd 94.96MB done
2020-11-22 06:56:33 wnd_2020-11-21.wnd 94.74MB done
2020-11-22 09:27:32 wnd_2020-11-22.wnd 94.46MB done
2020-11-23 07:59:45 wnd_2020-11-23.wnd 94.3MB done
2020-11-24 08:32:47 wnd_2020-11-24.wnd 94.09MB done
2020-11-25 07:15:46 wnd_2020-11-25.wnd 93.91MB done
2020-11-26 08:25:32 wnd_2020-11-26.wnd 93.58MB done
2020-11-27 06:58:32 wnd_2020-11-27.wnd 93.46MB done
2020-11-28 10:12:55 wnd_2020-11-28.wnd 93.81MB done
2020-11-29 08:46:00 wnd_2020-11-29.wnd 93.59MB done
2020-11-30 07:19:40 wnd_2020-11-30.wnd 93.5MB done
2020-12-01 11:38:13 wnd_2020-12-01.wnd 93.05MB done
2020-12-02 07:52:14 wnd_2020-12-02.wnd 92.87MB done
2020-12-03 07:41:34 wnd_2020-12-03.wnd 92.69MB done
2020-12-04 07:50:31 wnd_2020-12-04.wnd 92.78MB done
2020-12-05 08:10:30 wnd_2020-12-05.wnd 92.61MB done
2020-12-06 07:32:52 wnd_2020-12-06.wnd 92.57MB done
2020-12-07 08:05:56 wnd_2020-12-07.wnd 92.23MB done
2020-12-09 12:29:18 wnd_2020-12-08.wnd 92.39MB done
2020-12-09 19:24:50 wnd_2020-12-09.wnd 92.2MB done
2020-12-10 08:37:55 wnd_2020-12-10.wnd 92.51MB done
2020-12-11 09:22:14 wnd_2020-12-11.wnd 92.86MB done
2020-12-12 07:13:20 wnd_2020-12-12.wnd 93.34MB done
2020-12-13 07:45:04 wnd_2020-12-13.wnd 93.51MB done
2020-12-14 08:18:20 wnd_2020-12-14.wnd 93.51MB done
2020-12-15 07:14:59 wnd_2020-12-15.wnd 93.88MB done
2020-12-16 08:35:31 wnd_2020-12-16.wnd 94.07MB done
2020-12-17 08:26:48 wnd_2020-12-17.wnd 94.05MB done
2020-12-18 07:18:15 wnd_2020-12-18.wnd 94.11MB done
2020-12-19 08:04:59 wnd_2020-12-19.wnd 93.83MB done
2020-12-21 10:10:42 wnd_2020-12-20.wnd 93.74MB done
2020-12-21 12:41:43 wnd_2020-12-21.wnd 93.34MB done
2020-12-22 07:36:55 wnd_2020-12-22.wnd 92.75MB done
2020-12-23 08:09:58 wnd_2020-12-23.wnd 92.56MB done
2020-12-24 08:43:36 wnd_2020-12-24.wnd 92.43MB done
2020-12-26 08:33:00 wnd_2020-12-25.wnd 92.56MB done
2020-12-26 11:03:48 wnd_2020-12-26.wnd 92.38MB done
2020-12-27 07:35:11 wnd_2020-12-27.wnd 92.1MB done
2020-12-28 08:06:23 wnd_2020-12-28.wnd 92.01MB done
2020-12-29 08:37:48 wnd_2020-12-29.wnd 92.12MB done
2020-12-30 07:10:15 wnd_2020-12-30.wnd 92.43MB done
2020-12-31 07:41:59 wnd_2020-12-31.wnd 92.78MB done
2021-01-01 08:14:26 wnd_2021-01-01.wnd 92.85MB done
2021-01-02 08:46:54 wnd_2021-01-02.wnd 92.95MB done
2021-01-03 07:19:04 wnd_2021-01-03.wnd 92.88MB done
2021-01-04 07:51:36 wnd_2021-01-04.wnd 92.74MB done
2021-01-05 08:24:26 wnd_2021-01-05.wnd 92.67MB done
2021-01-06 06:58:09 wnd_2021-01-06.wnd 92.83MB done
2021-01-07 07:32:01 wnd_2021-01-07.wnd 93.07MB done
2021-01-09 08:28:44 wnd_2021-01-08.wnd 93.4MB done
2021-01-09 11:00:10 wnd_2021-01-09.wnd 93.81MB done
2021-01-10 07:31:50 wnd_2021-01-10.wnd 93.71MB done
2021-01-12 10:50:07 wnd_2021-01-11.wnd 93.32MB done
2021-01-12 13:22:09 wnd_2021-01-12.wnd 92.87MB done
2021-01-13 13:43:24 wnd_2021-01-13.wnd 92.96MB done
2021-01-14 11:34:46 wnd_2021-01-14.wnd 92.95MB done
2021-01-15 08:00:05 wnd_2021-01-15.wnd 93.06MB done
2021-01-16 08:30:50 wnd_2021-01-16.wnd 92.73MB done
2021-01-18 13:01:42 wnd_2021-01-17.wnd 92.11MB done
2021-01-18 15:31:40 wnd_2021-01-18.wnd 91.6MB done
2021-01-19 08:03:04 wnd_2021-01-19.wnd 91.11MB done
2021-01-20 07:36:42 wnd_2021-01-20.wnd 90.97MB done
2021-01-21 08:18:53 wnd_2021-01-21.wnd 91.29MB done
2021-01-22 08:51:30 wnd_2021-01-22.wnd 91.32MB done
2021-01-23 07:23:43 wnd_2021-01-23.wnd 91.56MB done
2021-01-24 09:44:39 wnd_2021-01-24.wnd 91.84MB done
2021-01-25 08:15:50 wnd_2021-01-25.wnd 91.8MB done
2021-01-26 08:26:22 wnd_2021-01-26.wnd 91.82MB done
2021-01-27 06:58:07 wnd_2021-01-27.wnd 91.37MB done
2021-01-28 07:29:27 wnd_2021-01-28.wnd 90.98MB done
2021-01-29 08:01:03 wnd_2021-01-29.wnd 91.23MB done
2021-01-30 08:33:23 wnd_2021-01-30.wnd 91.61MB done
2021-01-31 07:04:53 wnd_2021-01-31.wnd 92.04MB done
2021-02-01 07:42:54 wnd_2021-02-01.wnd 91.72MB done
2021-02-02 08:52:13 wnd_2021-02-02.wnd 91.82MB done
2021-02-03 07:23:38 wnd_2021-02-03.wnd 91.59MB done
2021-02-04 07:55:51 wnd_2021-02-04.wnd 91.77MB done
2021-02-05 08:27:48 wnd_2021-02-05.wnd 91.68MB done
2021-02-06 07:09:10 wnd_2021-02-06.wnd 91.74MB done
2021-02-07 10:20:46 wnd_2021-02-07.wnd 91.71MB done
2021-02-08 08:52:08 wnd_2021-02-08.wnd 91.69MB done
2021-02-09 07:41:09 wnd_2021-02-09.wnd 92.42MB done
2021-02-10 08:11:52 wnd_2021-02-10.wnd 93.49MB done
2021-02-11 07:30:31 wnd_2021-02-11.wnd 94.17MB done
2021-02-12 08:19:18 wnd_2021-02-12.wnd 94.48MB done
2021-02-13 06:59:52 wnd_2021-02-13.wnd 94.82MB done
2021-02-14 07:31:24 wnd_2021-02-14.wnd 94.36MB done
2021-02-15 08:02:38 wnd_2021-02-15.wnd 93.74MB done
2021-02-16 19:01:58 wnd_2021-02-16.wnd 93.15MB done
2021-02-17 07:33:33 wnd_2021-02-17.wnd 93.01MB done
2021-02-18 08:05:45 wnd_2021-02-18.wnd 93.42MB done
2021-02-19 08:38:17 wnd_2021-02-19.wnd 93.9MB done
2021-02-20 07:11:20 wnd_2021-02-20.wnd 94.38MB done
2021-02-21 07:44:03 wnd_2021-02-21.wnd 94.68MB done
2021-02-22 08:16:58 wnd_2021-02-22.wnd 95.02MB done
2021-02-23 07:06:40 wnd_2021-02-23.wnd 95.3MB done
2021-02-24 07:38:18 wnd_2021-02-24.wnd 95.09MB done
2021-02-25 20:50:57 wnd_2021-02-25.wnd 95.24MB done
2021-02-26 07:22:17 wnd_2021-02-26.wnd 95.16MB done
2021-02-27 07:54:07 wnd_2021-02-27.wnd 94.99MB done
2021-03-02 10:35:35 wnd_2021-02-28.wnd 94.62MB done
2021-03-02 13:09:56 wnd_2021-03-01.wnd 94.41MB done
2021-03-02 15:41:17 wnd_2021-03-02.wnd 93.86MB done
2021-03-03 08:31:52 wnd_2021-03-03.wnd 93.56MB done
2021-03-04 07:04:43 wnd_2021-03-04.wnd 93.58MB done
2021-03-05 07:38:17 wnd_2021-03-05.wnd 93.65MB done
2021-03-06 08:11:36 wnd_2021-03-06.wnd 94.01MB done
2021-03-07 13:54:20 wnd_2021-03-07.wnd 94.28MB done
2021-03-08 08:26:43 wnd_2021-03-08.wnd 94.11MB done
2021-03-09 21:31:12 wnd_2021-03-09.wnd 93.98MB done
2021-03-10 08:03:19 wnd_2021-03-10.wnd 93.75MB done
2021-03-11 08:38:03 wnd_2021-03-11.wnd 93.52MB done
2021-03-12 10:45:03 wnd_2021-03-12.wnd 93.64MB done
2021-03-13 07:21:04 wnd_2021-03-13.wnd 93.65MB done
2021-03-14 07:53:51 wnd_2021-03-14.wnd 93.66MB done
2021-03-21 07:29:00 wnd_2021-03-15.wnd 94.22MB done
2021-03-21 10:02:16 wnd_2021-03-16.wnd 93.88MB done
2021-03-21 12:36:24 wnd_2021-03-17.wnd 94.23MB done
2021-03-21 15:07:00 wnd_2021-03-18.wnd 94.42MB done
2021-03-21 17:37:36 wnd_2021-03-19.wnd 94.66MB done
2021-03-21 20:08:42 wnd_2021-03-20.wnd 94.77MB done
2021-03-21 22:39:20 wnd_2021-03-21.wnd 94.25MB done
2021-03-22 07:10:01 wnd_2021-03-22.wnd 93.92MB done
2021-03-23 07:41:42 wnd_2021-03-23.wnd 93.44MB done
2021-03-24 08:33:37 wnd_2021-03-24.wnd 93.06MB done
2021-03-25 07:08:43 wnd_2021-03-25.wnd 93.13MB done
2021-03-26 07:42:06 wnd_2021-03-26.wnd 93.54MB done
2021-04-01 21:11:24 wnd_2021-03-27.wnd 93.96MB done
2021-04-01 23:45:24 wnd_2021-03-28.wnd 94.23MB done
2021-04-02 02:19:06 wnd_2021-03-29.wnd 94.17MB done
2021-04-02 04:52:19 wnd_2021-03-30.wnd 93.48MB done
2021-04-02 07:26:00 wnd_2021-03-31.wnd 92.95MB done
2021-04-02 09:58:39 wnd_2021-04-01.wnd 92.63MB done
2021-04-02 12:31:28 wnd_2021-04-02.wnd 92.96MB done
2021-04-03 07:05:09 wnd_2021-04-03.wnd 93.37MB done
2021-04-04 07:38:36 wnd_2021-04-04.wnd 93.81MB done
2021-04-05 08:12:47 wnd_2021-04-05.wnd 93.72MB done
2021-04-06 08:48:49 wnd_2021-04-06.wnd 93.78MB done
2021-05-18 13:30:29 wnd_2021-04-07.wnd 93.94MB done
2021-05-18 16:01:59 wnd_2021-04-08.wnd 94.12MB done
2021-05-18 18:35:24 wnd_2021-04-09.wnd 94.14MB done
2021-05-18 20:32:27 wnd_2021-04-10.wnd 94.35MB done
2021-05-18 21:06:39 wnd_2021-04-11.wnd 94.39MB done
2021-05-18 21:39:00 wnd_2021-04-12.wnd 94.36MB done
2021-05-18 22:10:18 wnd_2021-04-13.wnd 94.71MB done
2021-05-18 22:41:13 wnd_2021-04-14.wnd 94.75MB done
2021-05-18 23:13:20 wnd_2021-04-15.wnd 94.82MB done
2021-05-18 23:44:51 wnd_2021-04-16.wnd 94.28MB done
2021-05-19 00:36:00 wnd_2021-04-17.wnd 93.79MB done
2021-05-19 01:07:33 wnd_2021-04-18.wnd 93.33MB done
2021-05-19 01:38:31 wnd_2021-04-19.wnd 93.17MB done
2021-05-19 02:09:57 wnd_2021-04-20.wnd 93.29MB done
2021-05-19 02:41:28 wnd_2021-04-21.wnd 93.79MB done
2021-05-19 03:13:44 wnd_2021-04-22.wnd 94.12MB done
